genre,danceability
flare.genre.hardcore,0.36124
flare.genre.nasheed,0.57706122449
flare.genre.gbvfi,0.45008
flare.genre.psychedelic doom,0.315522
flare.genre.celtic punk,0.38318
flare.genre.grindcore,0.305608163265
flare.genre.quebecois,0.56752
flare.genre.austropop,0.6221
flare.genre.brazilian ccm,0.463836734694
flare.genre.funky tech house,0.76104
flare.genre.riddim,0.651612244898
flare.genre.psychedelic trance,0.60322
flare.genre.speed garage,0.732916666667
flare.genre.baile funk,0.819775510204
flare.genre.classic russian rock,0.646244897959
flare.genre.freestyle,0.74629787234
flare.genre.j-poprock,0.52056
flare.genre.italian pop rock,0.568102040816
flare.genre.ebm,0.57316
flare.genre.math pop,0.46658
flare.genre.barnmusik,0.712224489796
flare.genre.spanish noise pop,0.4818125
flare.genre.warm drone,0.201916326531
flare.genre.soca,0.75276
flare.genre.nursery,0.60486
flare.genre.ethereal wave,0.275384
flare.genre.nintendocore,0.49916
flare.genre.african gospel,0.50488
flare.genre.garage pop,0.38042
flare.genre.world meditation,0.208432
flare.genre.destroy techno,0.69238
flare.genre.balearic,0.725244897959
flare.genre.progressive deathcore,0.41788
flare.genre.math rock,0.417916666667
flare.genre.laiko,0.66672
flare.genre.acid house,0.641081632653
flare.genre.albuquerque indie,0.56798
flare.genre.mande pop,0.6125
flare.genre.polish punk,0.599291666667
flare.genre.russiavision,0.71612
flare.genre.deep latin christian,0.51778
flare.genre.indie dream pop,0.52588
flare.genre.kindermusik,0.810318181818
flare.genre.emo punk,0.388853658537
flare.genre.entehno,0.64528
flare.genre.bassline,0.65534
flare.genre.k-indie,0.59824
flare.genre.classic finnish rock,0.456125
flare.genre.substep,0.53002
flare.genre.electrofox,0.55448
flare.genre.drill and bass,0.609959183673
flare.genre.turbo folk,0.68293877551
flare.genre.british alternative rock,0.47712
flare.genre.ambeat,0.69656
flare.genre.ska revival,0.688489795918
flare.genre.deep minimal techno,0.775155555556
flare.genre.bmore,0.73112244898
flare.genre.british indie rock,0.49508
flare.genre.canterbury scene,0.4599
flare.genre.musica para ninos,0.65642
flare.genre.romanian pop,0.71834
flare.genre.chill lounge,0.601591836735
flare.genre.rock catala,0.674127659574
flare.genre.free jazz,0.44956
flare.genre.argentine indie,0.623775510204
flare.genre.deep comedy,0.52894
flare.genre.twee pop,0.50084
flare.genre.classic garage rock,0.531142857143
flare.genre.volksmusik,0.547434782609
