,genre,mode
804,vancouver indie,0.74
805,christian punk,0.8
806,choro,0.44
807,african rock,0.7
808,deep talent show,0.8
809,e6fi,0.88
810,drone metal,0.69387755102
811,nordic house,0.30612244898
812,electro bailando,0.5
813,early music,0.56
814,psychobilly,0.66
815,hawaiian,0.88
816,horror punk,0.82
817,andean,0.38
818,russian hip hop,0.448979591837
819,detroit techno,0.551020408163
820,progressive psytrance,0.551020408163
821,comedy rock,0.734693877551
822,thai pop,0.82
823,psychill,0.387755102041
824,orchestral,0.56
825,tribal house,0.479166666667
826,atmospheric black metal,0.58
827,progressive trance house,0.375
828,deep indian pop,0.408163265306
829,jazz trio,0.64
830,classical performance,0.56
831,persian pop,0.34
832,fado,0.5
833,classical piano,0.666666666667
834,uk hip hop,0.65306122449
835,voidgaze,0.48
836,danish hip hop,0.448979591837
837,zouk riddim,0.58
838,israeli rock,0.42
839,czech rock,0.673469387755
840,swedish reggae,0.36170212766
841,exotica,0.68
842,praise,0.8
843,theme,0.64
844,hungarian rock,0.6
845,athens indie,0.8
846,neo-trad metal,0.64
847,dub techno,0.530612244898
848,norwegian metal,0.448979591837
849,venezuelan rock,0.64
850,choral,0.695652173913
851,aggrotech,0.58
852,neo-progressive,0.489795918367
853,turkish alternative,0.166666666667
854,hungarian pop,0.545454545455
855,classic colombian pop,0.52
856,kizomba,0.44
857,avant-garde,0.64
858,columbus ohio indie,0.755102040816
859,czech folk,0.872340425532
860,anime score,0.28
861,visual kei,0.56
862,mizrahi,0.4
863,barnemusikk,0.84
864,abstract beats,0.551020408163
865,italian metal,0.68
866,popgaze,0.755102040816
867,indian folk,0.48
868,deep latin alternative,0.708333333333
869,power-pop punk,0.84
870,ok indie,0.78
871,deep chill,0.3125
872,classic turkish pop,0.36
873,french movie tunes,0.714285714286
874,bubble trance,0.591836734694
875,goregrind,0.734693877551
876,j-indie,0.64
877,vintage italian soundtrack,0.7
878,melodic hard rock,0.66
879,deep tech house,0.541666666667
880,dark cabaret,0.58
881,shibuya-kei,0.708333333333
882,deep pop punk,0.8125
883,folkmusik,0.733333333333
884,power blues-rock,0.64
885,rai,0.265306122449
886,p funk,0.44
887,swedish punk,0.717391304348
888,russian punk,0.2
889,spanish reggae,0.38
890,black thrash,0.66
891,fidget house,0.510204081633
892,shimmer psych,0.74
893,musica nativista,0.928571428571
894,albanian pop,0.18
895,horrorcore,0.5
896,basque rock,0.765957446809
897,violin,0.681818181818
898,nu skool breaks,0.48
899,melodic power metal,0.56
900,turkish classical,0.326530612245
901,highlife,0.4
902,belly dance,0.36
903,string quartet,0.72
904,classic belgian pop,0.673469387755
905,indie psych-pop,0.734693877551
906,southern gospel,0.959183673469
907,chiptune,0.48
908,soukous,0.6
909,lds,1.0
910,instrumental post rock,0.836734693878
911,irish country,0.918367346939
912,brass band,0.58
913,classic polish pop,0.510638297872
914,bouncy house,0.5
915,vintage swedish pop,0.829787234043
916,timba,0.56
917,classic peruvian pop,0.408163265306
918,renaissance,0.56
919,acid techno,0.58
920,norwegian gospel,0.92
921,yugoslav rock,0.30612244898
922,dominican pop,0.7
