,genre,key
993,tin pan alley,5.14
994,german show tunes,4.725
995,disco polo,5.78
996,portuguese pop,5.19565217391
997,mbalax,6.10204081633
998,harpsichord,3.4
999,deep soundtrack,5.58
1000,polish indie,5.32653061224
1001,cyber metal,6.42857142857
1002,kids dance party,4.12
1003,metal guitar,5.24
1004,thrash core,5.36
1005,outsider,4.9387755102
1006,full on,6.64583333333
1007,composition d,5.33333333333
1008,deep liquid,5.71428571429
1009,kompa,4.92
1010,new age piano,4.92
1011,heavy alternative,5.22448979592
1012,jumpstyle,4.48
1013,electropunk,5.38
1014,classic czech pop,4.41860465116
1015,stomp and whittle,5.3
1016,slovak hip hop,5.88888888889
1017,beats,5.12244897959
1018,brutal deathcore,5.22
1019,finnish indie,5.22916666667
1020,makossa,6.57142857143
1021,qawwali,4.56
1022,kwaito house,5.10204081633
1023,witch house,5.4693877551
1024,j-ambient,4.2
1025,atmospheric post rock,3.98
1026,zillertal,3.97826086957
1027,gothic alternative,5.42
1028,funk carioca,5.52083333333
1029,latvian pop,5.97872340426
1030,crust punk,5.0
1031,oshare kei,5.3125
1032,blackgaze,5.36734693878
1033,psych gaze,6.44897959184
1034,grunge pop,4.51020408163
1035,orquesta tropical,6.08163265306
1036,ghazal,5.34
1037,classic venezuelan pop,4.95918367347
1038,rva indie,5.62
1039,irish indie,5.72
1040,denver indie,4.7
1041,world chill,5.26530612245
1042,deep gothic post-punk,4.82
1043,ethiopian pop,5.79591836735
1044,deep rai,4.84782608696
1045,electro dub,5.89130434783
1046,traditional ska,5.58
1047,hungarian hip hop,5.71111111111
1048,fake,3.7
1049,beatdown,5.16
1050,deep acoustic pop,5.08163265306
1051,drone folk,4.61224489796
1052,canadian hip hop,5.55102040816
1053,louisville indie,5.02
1054,dirty texas rap,4.71428571429
1055,neofolk,4.75510204082
1056,neo-rockabilly,5.28
1057,judaica,5.52
1058,deep flow,5.15789473684
1059,japanese psychedelic,5.78
1060,ragtime,3.95918367347
1061,anarcho-punk,5.1
1062,workout,4.82
1063,austrian hip hop,6.08333333333
1064,guidance,4.9
1065,traditional british folk,4.79591836735
1066,calypso,4.42
1067,orquesta tipica,5.16
1068,swiss hip hop,5.47916666667
1069,geek rock,5.30612244898
1070,deep adult standards,5.08
1071,blaskapelle,4.55319148936
1072,classic french pop,5.52
1073,nwothm,4.79591836735
1074,deep smooth jazz,5.32
1075,deep dance pop,5.48979591837
1076,dark black metal,5.95918367347
1077,abstract,6.20833333333
1078,tone,5.39583333333
1079,neo-synthpop,3.88
1080,minimal melodic techno,4.42553191489
1081,nerdcore,4.98
1082,ukulele,3.68
1083,kurdish folk,5.4693877551
1084,ukrainian rock,5.48979591837
1085,kayokyoku,5.12244897959
1086,new beat,6.58333333333
1087,lithumania,5.52083333333
1088,modern southern rock,5.98
1089,euroska,6.35416666667
1090,k-rock,5.0
1091,classic soundtrack,4.38
1092,zouglou,6.63265306122
1093,australian indie,5.02
1094,indie emo,5.69387755102
1095,lo star,4.12
