,genre,danceability
820,progressive psytrance,0.673346938776
821,comedy rock,0.632102040816
822,thai pop,0.59796
823,psychill,0.564163265306
824,orchestral,0.286184
825,tribal house,0.741020833333
826,atmospheric black metal,0.259814
827,progressive trance house,0.6258125
828,deep indian pop,0.638632653061
829,jazz trio,0.46714
830,classical performance,0.269944
831,persian pop,0.7078
832,fado,0.55336
833,classical piano,0.278619047619
834,uk hip hop,0.687040816327
835,voidgaze,0.252578
836,danish hip hop,0.727081632653
837,zouk riddim,0.6553
838,israeli rock,0.69254
839,czech rock,0.61506122449
840,swedish reggae,0.68570212766
841,exotica,0.526926
842,praise,0.45102
843,theme,0.395912
844,hungarian rock,0.49362
845,athens indie,0.49746
846,neo-trad metal,0.4003
847,dub techno,0.571265306122
848,norwegian metal,0.359591836735
849,venezuelan rock,0.6633
850,choral,0.1905
851,aggrotech,0.57156
852,neo-progressive,0.460040816327
853,turkish alternative,0.5344375
854,hungarian pop,0.614181818182
855,classic colombian pop,0.71086
856,kizomba,0.66134
857,avant-garde,0.251706
858,columbus ohio indie,0.504040816327
859,czech folk,0.593659574468
860,anime score,0.30384
861,visual kei,0.4818
862,mizrahi,0.67294
863,barnemusikk,0.62684
864,abstract beats,0.632979591837
865,italian metal,0.44686
866,popgaze,0.471265306122
867,indian folk,0.5769
868,deep latin alternative,0.628083333333
869,power-pop punk,0.39258
870,ok indie,0.542
871,deep chill,0.629229166667
872,classic turkish pop,0.54114
873,french movie tunes,0.507857142857
874,bubble trance,0.629081632653
875,goregrind,0.318244897959
876,j-indie,0.47812
877,vintage italian soundtrack,0.23449
878,melodic hard rock,0.52928
879,deep tech house,0.759104166667
880,dark cabaret,0.56524
881,shibuya-kei,0.627291666667
882,deep pop punk,0.4815
883,folkmusik,0.469044444444
884,power blues-rock,0.52154
885,rai,0.651714285714
886,p funk,0.689
887,swedish punk,0.415152173913
888,russian punk,0.62196
889,spanish reggae,0.7025
890,black thrash,0.298038
891,fidget house,0.738571428571
892,shimmer psych,0.54934
893,musica nativista,0.682
894,albanian pop,0.7189
895,horrorcore,0.66326
896,basque rock,0.474170212766
897,violin,0.2922
898,nu skool breaks,0.6434
899,melodic power metal,0.47516
900,turkish classical,0.45306122449
901,highlife,0.69886
902,belly dance,0.65026
903,string quartet,0.49123
904,classic belgian pop,0.56606122449
905,indie psych-pop,0.486714285714
906,southern gospel,0.47987755102
907,chiptune,0.48644
908,soukous,0.63988
909,lds,0.329632653061
910,instrumental post rock,0.269963265306
911,irish country,0.531244897959
912,brass band,0.60548
913,classic polish pop,0.534872340426
914,bouncy house,0.5325
915,vintage swedish pop,0.548574468085
916,timba,0.7107
917,classic peruvian pop,0.676204081633
918,renaissance,0.241914
919,acid techno,0.6598
920,norwegian gospel,0.37948
921,yugoslav rock,0.641387755102
922,dominican pop,0.70778
923,classic icelandic pop,0.606191489362
924,arab folk,0.454058333333
925,southern soul blues,0.77282
926,perth indie,0.59294
927,neue deutsche welle,0.704448979592
928,swiss rock,0.55616
929,zouk,0.66258
930,deep melodic metalcore,0.38874
931,sega,0.695020408163
932,mod revival,0.4813
933,pakistani pop,0.572489795918
934,deep soul house,0.7551
935,french folk pop,0.675354166667
936,deep christian rock,0.4625
937,c86,0.47186
938,rio de la plata,0.690708333333
939,native american,0.355653061224
940,college a cappella,0.464
941,uk dub,0.779040816327
942,jazz bass,0.52402
943,miami bass,0.86012
944,ambient idm,0.45552
945,polish reggae,0.647408163265
946,nordic folk,0.40736
947,hauntology,0.3805
948,vienna indie,0.553125
949,swamp pop,0.59726
950,modern uplift,0.495333333333
951,catalan folk,0.587541666667
952,chanson quebecois,0.51125
953,girl group,0.51716
954,brazilian composition,0.415083333333
955,digital hardcore,0.548408163265
956,hip hop tuga,0.699042553191
957,hip hop quebecois,0.673
958,deep neofolk,0.555714285714
959,vintage french electronic,0.472432653061
960,samba-enredo,0.551108695652
961,vocaloid,0.523918367347
962,italian jazz,0.43258
963,croatian pop,0.637270833333
964,spanish folk,0.53924
965,hard minimal techno,0.810102040816
966,vintage tango,0.57828
967,desert blues,0.57636
968,garage punk,0.357044
969,bounce,0.774977272727
970,hiplife,0.767208333333
971,mexican son,0.639041666667
972,german oi,0.452979591837
973,classical guitar,0.421510204082
974,drumfunk,0.559306122449
975,czech hip hop,0.67702173913
976,appalachian folk,0.582040816327
977,vietnamese pop,0.61464
978,balkan brass,0.6909
979,free improvisation,0.407340425532
980,riot grrrl,0.44824
981,rosary,0.35478
982,electronica,0.6221
983,underground latin hip hop,0.714104166667
984,karneval,0.618127659574
985,serialism,0.247475510204
986,cante flamenco,0.566978723404
987,tico,0.629
988,boogie-woogie,0.61852
989,morna,0.64862
990,ecuadoria,0.661693877551
991,traditional rock 'n roll,0.55348
992,estonian pop,0.53988
993,tin pan alley,0.44988
994,german show tunes,0.4225
995,disco polo,0.70948
996,portuguese pop,0.724804347826
997,mbalax,0.619551020408
998,harpsichord,0.271892
999,deep soundtrack,0.182254
1000,polish indie,0.571183673469
1001,cyber metal,0.434571428571
1002,kids dance party,0.77762
1003,metal guitar,0.48216
1004,thrash core,0.33534
1005,outsider,0.514020408163
1006,full on,0.595
1007,composition d,0.212808333333
1008,deep liquid,0.497
1009,kompa,0.64418
1010,new age piano,0.34206
1011,heavy alternative,0.448408163265
1012,jumpstyle,0.54866
1013,electropunk,0.74588
1014,classic czech pop,0.546372093023
1015,stomp and whittle,0.52398
1016,slovak hip hop,0.690977777778
1017,beats,0.71412244898
1018,brutal deathcore,0.40576
1019,finnish indie,0.574354166667
1020,makossa,0.668693877551
1021,qawwali,0.54108
1022,kwaito house,0.746469387755
1023,witch house,0.489151020408
1024,j-ambient,0.460428571429
1025,atmospheric post rock,0.3696
1026,zillertal,0.656956521739
1027,gothic alternative,0.46888
1028,funk carioca,0.8309375
1029,latvian pop,0.669085106383
1030,crust punk,0.30224
1031,oshare kei,0.5088125
1032,blackgaze,0.276655102041
1033,psych gaze,0.433448979592
1034,grunge pop,0.489081632653
1035,orquesta tropical,0.705387755102
1036,ghazal,0.49962
1037,classic venezuelan pop,0.631081632653
1038,rva indie,0.4581
1039,irish indie,0.5915
1040,denver indie,0.53294
1041,world chill,0.555244897959
1042,deep gothic post-punk,0.49496
1043,ethiopian pop,0.604714285714
1044,deep rai,0.66052173913
1045,electro dub,0.698260869565
1046,traditional ska,0.6753
1047,hungarian hip hop,0.696422222222
