,genre,acousticness
957,hip hop quebecois,0.167735625
958,deep neofolk,0.533124489796
959,vintage french electronic,0.376015979592
960,samba-enredo,0.517308695652
961,vocaloid,0.090421344898
962,italian jazz,0.8673
963,croatian pop,0.282392708333
964,spanish folk,0.41724512
965,hard minimal techno,0.0178862040816
966,vintage tango,0.9
967,desert blues,0.5702682
968,garage punk,0.0614387082
969,bounce,0.136296818182
970,hiplife,0.2930125
971,mexican son,0.539472916667
972,german oi,0.0278905489796
973,classical guitar,0.971367346939
974,drumfunk,0.0476075918367
975,czech hip hop,0.161128695652
976,appalachian folk,0.768257142857
977,vietnamese pop,0.577528
978,balkan brass,0.297341
979,free improvisation,0.66314506383
980,riot grrrl,0.0513761458
981,rosary,0.82958
982,electronica,0.33561494
983,underground latin hip hop,0.142721875
984,karneval,0.0896474468085
985,serialism,0.908979591837
986,cante flamenco,0.650170212766
987,tico,0.263582653061
988,boogie-woogie,0.62274
989,morna,0.718398
990,ecuadoria,0.263307416327
991,traditional rock 'n roll,0.325453
992,estonian pop,0.2430254
993,tin pan alley,0.88542
994,german show tunes,0.65785
995,disco polo,0.04427096
996,portuguese pop,0.177214347826
997,mbalax,0.397414285714
998,harpsichord,0.88426
999,deep soundtrack,0.6194156
1000,polish indie,0.223739081633
1001,cyber metal,0.00514158346939
1002,kids dance party,0.16937499
